,,,value
,,,mean
model,metric_type,lvl,
popular,MAP,1,0.04718574567812956
popular,MRR,1,0.09721076522746151
popular,novelty,1,2.422734756680196
popular,prec,1,0.09721076522746151
popular,recall,1,0.04718574567812956
popular,serendipity,1,3.128809273125454e-06
popular,MAP,10,0.09854855093179948
popular,MRR,10,0.1767197182705514
popular,novelty,10,3.7228516031474332
popular,prec,10,0.04596424797011354
popular,recall,10,0.20351695340058198
popular,serendipity,10,3.033857470904996e-06
popular,MAP,5,0.09101289596331574
popular,MRR,5,0.16827210663368994
popular,novelty,5,3.109862946347492
popular,prec,5,0.07033880906696394
popular,recall,5,0.16049635051203326
popular,serendipity,5,3.601347492062375e-06
random,MAP,1,5.526500747913158e-05
random,MRR,1,0.00020316362762884234
random,novelty,1,15.567096152780849
random,prec,1,0.00020316362762884234
random,recall,1,5.526500747913158e-05
random,serendipity,1,7.637364610750775e-06
random,MAP,10,0.00017896739696040393
random,MRR,10,0.0006467823851714255
random,novelty,10,15.557718313025994
random,prec,10,0.0002288035896562276
random,recall,10,0.0006336979004185832
random,serendipity,10,8.174990572396873e-06
random,MAP,5,0.00013517277750470667
random,MRR,5,0.0004986575596282698
random,novelty,5,15.555586104117225
random,prec,5,0.00022533687234724872
random,recall,5,0.00029340552937588807
random,serendipity,5,8.1605732904787e-06
